LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
WILLIAMS,"716,704",1,46.70%,3,"1,534,042"
JOHNSON,"627,720",2,33.80%,2,"1,857,160"
SMITH,"527,993",3,22.20%,1,"2,376,206"
JONES,"514,167",4,37.70%,5,"1,362,755"
BROWN,"476,702",5,34.50%,4,"1,380,145"
JACKSON,"353,179",6,53.00%,18,"666,125"
DAVIS,"329,957",7,30.80%,7,"1,072,335"
THOMAS,"271,273",8,38.20%,14,"710,696"
HARRIS,"247,092",9,41.60%,24,"593,542"
ROBINSON,"221,835",10,44.10%,27,"503,028"
TAYLOR,"199,326",11,27.70%,13,"720,370"
WILSON,"198,269",12,25.30%,10,"783,051"
MOORE,"188,082",13,26.90%,16,"698,671"
WHITE,"175,099",14,27.40%,20,"639,515"
LEWIS,"172,509",15,33.80%,26,"509,930"
WALKER,"171,297",16,34.20%,28,"501,307"
GREEN,"149,803",17,36.20%,37,"413,477"
WASHINGTON,"146,520",18,89.90%,138,"163,036"
THOMPSON,"145,176",19,22.50%,19,"644,368"
ANDERSON,"137,688",20,18.10%,12,"762,394"
SCOTT,"135,521",21,32.30%,36,"420,091"
CARTER,"126,856",22,35.00%,46,"362,548"
WRIGHT,"120,484",23,27.40%,34,"440,367"
MILLER,"117,404",24,10.40%,6,"1,127,803"
HILL,"117,025",25,28.40%,41,"411,770"
ALLEN,"116,491",26,25.10%,32,"463,368"
MITCHELL,"115,815",27,31.50%,44,"367,433"
YOUNG,"110,849",28,23.80%,31,"465,948"
LEE,"105,480",29,17.40%,22,"605,860"
MARTIN,"102,925",30,15.30%,17,"672,711"
CLARK,"101,613",31,18.50%,25,"548,369"
TURNER,"98,383",32,29.30%,49,"335,663"
HALL,"98,265",33,20.70%,30,"473,568"
KING,"96,665",34,22.00%,35,"438,986"
EDWARDS,"95,787",35,30.20%,53,"317,070"
COLEMAN,"91,440",36,43.80%,102,"208,624"
JAMES,"88,835",37,38.10%,80,"233,224"
EVANS,"85,730",38,25.00%,48,"342,237"
BELL,"84,138",39,31.80%,67,"264,752"
RICHARDSON,"81,772",40,32.80%,74,"249,533"
ADAMS,"79,313",41,19.20%,39,"413,086"
BROOKS,"78,653",42,32.70%,77,"240,751"
PARKER,"78,111",43,24.10%,51,"324,246"
JENKINS,"76,881",44,36.00%,95,"213,737"
STEWART,"74,564",45,23.80%,54,"312,899"
HOWARD,"73,096",46,28.70%,70,"254,779"
CAMPBELL,"71,155",47,19.10%,43,"371,953"
SIMMONS,"71,102",48,35.30%,103,"201,650"
SANDERS,"70,468",49,31.90%,88,"220,902"
HENDERSON,"69,751",50,33.20%,101,"210,094"
COLLINS,"68,973",51,21.70%,52,"317,848"
COOPER,"68,227",52,25.30%,64,"270,097"
WATSON,"65,093",53,26.90%,76,"242,432"
BUTLER,"65,056",54,30.80%,98,"210,879"
ALEXANDER,"64,262",55,33.20%,111,"193,443"
BRYANT,"63,728",56,34.70%,120,"183,761"
NELSON,"61,547",57,14.90%,40,"412,236"
MORRIS,"60,137",58,19.30%,56,"311,754"
BARNES,"59,403",59,28.20%,99,"210,426"
JORDAN,"59,282",60,30.10%,105,"197,212"
REED,"58,757",61,22.00%,65,"267,443"
WOODS,"58,511",62,34.70%,133,"168,814"
DIXON,"58,085",63,38.20%,156,"152,015"
ROBERTS,"58,082",64,15.90%,45,"366,215"
GRAY,"57,663",65,24.40%,79,"236,713"
PHILLIPS,"57,562",66,16.40%,47,"351,848"
GRIFFIN,"56,752",67,29.80%,114,"190,636"
BAKER,"56,340",68,13.60%,38,"413,351"
POWELL,"56,239",69,26.00%,91,"216,553"
BAILEY,"56,215",70,21.10%,66,"265,916"
FORD,"56,017",71,31.40%,124,"178,397"
HOLMES,"54,841",72,36.50%,161,"150,166"
BANKS,"53,857",73,54.20%,278,"99,294"
DANIELS,"52,499",74,37.80%,180,"138,776"
ROSS,"52,065",75,23.70%,89,"219,961"
ROGERS,"51,992",76,17.70%,61,"294,403"
PERRY,"51,821",77,24.40%,97,"212,644"
FOSTER,"51,259",78,23.20%,87,"221,040"
